classifier_name,dataset_name,accuracy
RL Zoo,Hopper-v2_0,97.2981655
HPO-RL-Bench Optuna,Hopper-v2_0,351.39085239999997
HPO-RL-Bench Oracle,Humanoid-v2_0,384.0149729
RL Zoo,Humanoid-v2_0,198.4250918
HPO-RL-Bench Optuna,Humanoid-v2_0,384.0149729
HPO-RL-Bench Oracle,Pong-v0_1,-15.4
RL Zoo,Pong-v0_1,-16.5
HPO-RL-Bench Optuna,Pong-v0_1,-15.4
HPO-RL-Bench Oracle,Alien-v0_1,1378.0
RL Zoo,Alien-v0_1,617.0
HPO-RL-Bench Optuna,Alien-v0_1,1378.0
HPO-RL-Bench Oracle,BankHeist-v0_1,69.0
RL Zoo,BankHeist-v0_1,235.0
HPO-RL-Bench Optuna,BankHeist-v0_1,69.0
HPO-RL-Bench Oracle,BeamRider-v0_1,1677.8
RL Zoo,BeamRider-v0_1,1938.8
HPO-RL-Bench Optuna,BeamRider-v0_1,1677.8
HPO-RL-Bench Oracle,Breakout-v0_1,13.2
RL Zoo,Breakout-v0_1,10.1
HPO-RL-Bench Optuna,Breakout-v0_1,13.2
HPO-RL-Bench Oracle,Enduro-v0_1,266.9
RL Zoo,Enduro-v0_1,193.6
HPO-RL-Bench Optuna,Enduro-v0_1,266.9
HPO-RL-Bench Oracle,Phoenix-v0_1,3712.0
RL Zoo,Phoenix-v0_1,3880.0
HPO-RL-Bench Optuna,Phoenix-v0_1,3712.0
HPO-RL-Bench Oracle,Seaquest-v0_1,730.0
RL Zoo,Seaquest-v0_1,1340.0
HPO-RL-Bench Optuna,Seaquest-v0_1,730.0
HPO-RL-Bench Oracle,SpaceInvaders-v0_1,419.5
RL Zoo,SpaceInvaders-v0_1,300.5
HPO-RL-Bench Optuna,SpaceInvaders-v0_1,419.5
HPO-RL-Bench Oracle,Riverraid-v0_1,4297.0
RL Zoo,Riverraid-v0_1,4443.0
HPO-RL-Bench Optuna,Riverraid-v0_1,4297.0
HPO-RL-Bench Oracle,Boxing-v0_1,35.7
RL Zoo,Boxing-v0_1,-7.3
HPO-RL-Bench Optuna,Boxing-v0_1,35.7
HPO-RL-Bench Oracle,Bowling-v0_1,30.0
RL Zoo,Bowling-v0_1,13.5
HPO-RL-Bench Optuna,Bowling-v0_1,30.0
HPO-RL-Bench Oracle,Asteroids-v0_1,427.0
RL Zoo,Asteroids-v0_1,137.0
HPO-RL-Bench Optuna,Asteroids-v0_1,226.0
HPO-RL-Bench Oracle,CartPole-v1_1,500.0
RL Zoo,CartPole-v1_1,500.0
HPO-RL-Bench Optuna,CartPole-v1_1,500.0
HPO-RL-Bench Oracle,MountainCar-v0_1,-200.0
RL Zoo,MountainCar-v0_1,-200.0
HPO-RL-Bench Optuna,MountainCar-v0_1,-200.0
HPO-RL-Bench Oracle,Acrobot-v1_1,-73.1
RL Zoo,Acrobot-v1_1,-500.0
HPO-RL-Bench Optuna,Acrobot-v1_1,-73.1
HPO-RL-Bench Oracle,Ant-v2_1,1096.3980501
RL Zoo,Ant-v2_1,-49.1983628
HPO-RL-Bench Optuna,Ant-v2_1,1096.3980501
HPO-RL-Bench Oracle,Hopper-v2_1,846.7387775999999
RL Zoo,Hopper-v2_1,68.9630306
HPO-RL-Bench Optuna,Hopper-v2_1,846.7387775999999
HPO-RL-Bench Oracle,Humanoid-v2_1,501.08583630000004
RL Zoo,Humanoid-v2_1,176.3576084
HPO-RL-Bench Optuna,Humanoid-v2_1,501.08583630000004
HPO-RL-Bench Oracle,Pong-v0_2,-15.1
RL Zoo,Pong-v0_2,-15.2
HPO-RL-Bench Optuna,Pong-v0_2,-15.1
HPO-RL-Bench Oracle,Alien-v0_2,1008.0
RL Zoo,Alien-v0_2,718.0
HPO-RL-Bench Optuna,Alien-v0_2,1008.0
HPO-RL-Bench Oracle,BankHeist-v0_2,21.0
RL Zoo,BankHeist-v0_2,123.0
HPO-RL-Bench Optuna,BankHeist-v0_2,21.0
HPO-RL-Bench Oracle,BeamRider-v0_2,1133.2
RL Zoo,BeamRider-v0_2,1700.4
HPO-RL-Bench Optuna,BeamRider-v0_2,981.6
HPO-RL-Bench Oracle,Breakout-v0_2,12.2
RL Zoo,Breakout-v0_2,10.3
HPO-RL-Bench Optuna,Breakout-v0_2,11.3
HPO-RL-Bench Oracle,Enduro-v0_2,314.4
RL Zoo,Enduro-v0_2,132.8
HPO-RL-Bench Optuna,Enduro-v0_2,314.4
HPO-RL-Bench Oracle,Phoenix-v0_2,4159.0
RL Zoo,Phoenix-v0_2,4497.0
HPO-RL-Bench Optuna,Phoenix-v0_2,4159.0
HPO-RL-Bench Oracle,Seaquest-v0_2,882.0
RL Zoo,Seaquest-v0_2,1388.0
HPO-RL-Bench Optuna,Seaquest-v0_2,882.0
HPO-RL-Bench Oracle,SpaceInvaders-v0_2,471.5
RL Zoo,SpaceInvaders-v0_2,261.5
HPO-RL-Bench Optuna,SpaceInvaders-v0_2,452.5
HPO-RL-Bench Oracle,Riverraid-v0_2,3458.0
RL Zoo,Riverraid-v0_2,4562.0
HPO-RL-Bench Optuna,Riverraid-v0_2,3458.0
HPO-RL-Bench Oracle,Boxing-v0_2,32.4
RL Zoo,Boxing-v0_2,-36.1
HPO-RL-Bench Optuna,Boxing-v0_2,32.4
HPO-RL-Bench Oracle,Bowling-v0_2,30.0
RL Zoo,Bowling-v0_2,30.0
HPO-RL-Bench Optuna,Bowling-v0_2,30.0
HPO-RL-Bench Oracle,Asteroids-v0_2,491.0
RL Zoo,Asteroids-v0_2,140.0
HPO-RL-Bench Optuna,Asteroids-v0_2,491.0
HPO-RL-Bench Oracle,CartPole-v1_2,500.0
RL Zoo,CartPole-v1_2,500.0
HPO-RL-Bench Optuna,CartPole-v1_2,500.0
HPO-RL-Bench Oracle,MountainCar-v0_2,-200.0
RL Zoo,MountainCar-v0_2,-200.0
HPO-RL-Bench Optuna,MountainCar-v0_2,-200.0
HPO-RL-Bench Oracle,Acrobot-v1_2,-73.3
RL Zoo,Acrobot-v1_2,-83.5
HPO-RL-Bench Optuna,Acrobot-v1_2,-73.3
HPO-RL-Bench Oracle,Ant-v2_2,1108.8603651
RL Zoo,Ant-v2_2,-60.142367300000004
HPO-RL-Bench Optuna,Ant-v2_2,1014.9542477000001
HPO-RL-Bench Oracle,Hopper-v2_2,792.9433594999999
RL Zoo,Hopper-v2_2,67.36092679999999
HPO-RL-Bench Optuna,Hopper-v2_2,390.1179006
HPO-RL-Bench Oracle,Humanoid-v2_2,382.888306
RL Zoo,Humanoid-v2_2,175.6607719
HPO-RL-Bench Optuna,Humanoid-v2_2,382.888306
