classifier_name,dataset_name,accuracy
HPO-RL-Bench Oracle,Bowling-v0_0,54.0
RL Zoo,Bowling-v0_0,30.0
HPO-RL-Bench Optuna,Bowling-v0_0,53.6
HPO-RL-Bench Oracle,Asteroids-v0_0,771.0
RL Zoo,Asteroids-v0_0,214.0
HPO-RL-Bench Optuna,Asteroids-v0_0,705.0
HPO-RL-Bench Oracle,CartPole-v1_0,500.0
RL Zoo,CartPole-v1_0,500.0
HPO-RL-Bench Optuna,CartPole-v1_0,500.0
HPO-RL-Bench Oracle,MountainCar-v0_0,-96.4
RL Zoo,MountainCar-v0_0,-200.0
HPO-RL-Bench Optuna,MountainCar-v0_0,-97.9
HPO-RL-Bench Oracle,Acrobot-v1_0,-62.9
RL Zoo,Acrobot-v1_0,-118.5
HPO-RL-Bench Optuna,Acrobot-v1_0,-62.2
HPO-RL-Bench Oracle,Ant-v2_0,3659.9377026
RL Zoo,Ant-v2_0,902.8501002999999
HPO-RL-Bench Optuna,Ant-v2_0,3659.9377026
HPO-RL-Bench Oracle,Hopper-v2_0,3376.6121531000003
RL Zoo,Hopper-v2_0,1010.3566126
HPO-RL-Bench Optuna,Hopper-v2_0,1962.8098600999997
HPO-RL-Bench Oracle,Humanoid-v2_0,539.6396145
RL Zoo,Humanoid-v2_0,403.94176830000004
HPO-RL-Bench Optuna,Humanoid-v2_0,508.00319520000005
HPO-RL-Bench Oracle,Pong-v0_1,-6.2
RL Zoo,Pong-v0_1,-18.7
HPO-RL-Bench Optuna,Pong-v0_1,-6.2
HPO-RL-Bench Oracle,Alien-v0_1,1444.0
RL Zoo,Alien-v0_1,632.0
HPO-RL-Bench Optuna,Alien-v0_1,1369.0
HPO-RL-Bench Oracle,BankHeist-v0_1,363.0
RL Zoo,BankHeist-v0_1,220.0
HPO-RL-Bench Optuna,BankHeist-v0_1,271.0
HPO-RL-Bench Oracle,BeamRider-v0_1,1851.2
RL Zoo,BeamRider-v0_1,2627.8
HPO-RL-Bench Optuna,BeamRider-v0_1,1654.4
HPO-RL-Bench Oracle,Breakout-v0_1,15.0
RL Zoo,Breakout-v0_1,12.5
HPO-RL-Bench Optuna,Breakout-v0_1,15.0
HPO-RL-Bench Oracle,Enduro-v0_1,447.9
RL Zoo,Enduro-v0_1,161.9
HPO-RL-Bench Optuna,Enduro-v0_1,447.9
HPO-RL-Bench Oracle,Phoenix-v0_1,3342.0
RL Zoo,Phoenix-v0_1,2748.0
HPO-RL-Bench Optuna,Phoenix-v0_1,3241.0
HPO-RL-Bench Oracle,Seaquest-v0_1,1534.0
RL Zoo,Seaquest-v0_1,1252.0
HPO-RL-Bench Optuna,Seaquest-v0_1,1534.0
HPO-RL-Bench Oracle,SpaceInvaders-v0_1,653.5
RL Zoo,SpaceInvaders-v0_1,419.5
HPO-RL-Bench Optuna,SpaceInvaders-v0_1,620.5
HPO-RL-Bench Oracle,Riverraid-v0_1,6723.0
RL Zoo,Riverraid-v0_1,2640.0
HPO-RL-Bench Optuna,Riverraid-v0_1,6723.0
HPO-RL-Bench Oracle,Skiing-v0_1,-9013.0
RL Zoo,Skiing-v0_1,-30000.0
HPO-RL-Bench Optuna,Skiing-v0_1,-9013.0
HPO-RL-Bench Oracle,Boxing-v0_1,44.0
RL Zoo,Boxing-v0_1,28.7
HPO-RL-Bench Optuna,Boxing-v0_1,44.0
HPO-RL-Bench Oracle,Bowling-v0_1,58.8
RL Zoo,Bowling-v0_1,37.6
HPO-RL-Bench Optuna,Bowling-v0_1,58.8
HPO-RL-Bench Oracle,Asteroids-v0_1,951.0
RL Zoo,Asteroids-v0_1,212.0
HPO-RL-Bench Optuna,Asteroids-v0_1,828.0
HPO-RL-Bench Oracle,CartPole-v1_1,500.0
RL Zoo,CartPole-v1_1,500.0
HPO-RL-Bench Optuna,CartPole-v1_1,500.0
HPO-RL-Bench Oracle,MountainCar-v0_1,-98.1
RL Zoo,MountainCar-v0_1,-200.0
HPO-RL-Bench Optuna,MountainCar-v0_1,-94.1
HPO-RL-Bench Oracle,Acrobot-v1_1,-63.9
RL Zoo,Acrobot-v1_1,-71.5
HPO-RL-Bench Optuna,Acrobot-v1_1,-65.0
HPO-RL-Bench Oracle,Ant-v2_1,3638.1108177
RL Zoo,Ant-v2_1,875.8848340000001
HPO-RL-Bench Optuna,Ant-v2_1,3638.1108177
HPO-RL-Bench Oracle,Hopper-v2_1,3171.4268934
RL Zoo,Hopper-v2_1,981.4773595999999
HPO-RL-Bench Optuna,Hopper-v2_1,1687.9561208999999
HPO-RL-Bench Oracle,Humanoid-v2_1,529.2704501000001
RL Zoo,Humanoid-v2_1,440.2047968
HPO-RL-Bench Optuna,Humanoid-v2_1,484.12810519999994
HPO-RL-Bench Oracle,Pong-v0_2,5.4
RL Zoo,Pong-v0_2,-19.2
HPO-RL-Bench Optuna,Pong-v0_2,-10.8
HPO-RL-Bench Oracle,Alien-v0_2,1877.0
RL Zoo,Alien-v0_2,705.0
HPO-RL-Bench Optuna,Alien-v0_2,1656.0
HPO-RL-Bench Oracle,BankHeist-v0_2,355.0
RL Zoo,BankHeist-v0_2,217.0
HPO-RL-Bench Optuna,BankHeist-v0_2,355.0
HPO-RL-Bench Oracle,BeamRider-v0_2,1791.6
RL Zoo,BeamRider-v0_2,1864.8
HPO-RL-Bench Optuna,BeamRider-v0_2,1758.0
HPO-RL-Bench Oracle,Breakout-v0_2,14.0
RL Zoo,Breakout-v0_2,12.5
HPO-RL-Bench Optuna,Breakout-v0_2,14.0
HPO-RL-Bench Oracle,Enduro-v0_2,435.7
RL Zoo,Enduro-v0_2,108.5
HPO-RL-Bench Optuna,Enduro-v0_2,434.4
HPO-RL-Bench Oracle,Phoenix-v0_2,3819.0
RL Zoo,Phoenix-v0_2,3335.0
HPO-RL-Bench Optuna,Phoenix-v0_2,3259.0
HPO-RL-Bench Oracle,Seaquest-v0_2,1428.0
RL Zoo,Seaquest-v0_2,1340.0
HPO-RL-Bench Optuna,Seaquest-v0_2,1428.0
HPO-RL-Bench Oracle,SpaceInvaders-v0_2,663.0
RL Zoo,SpaceInvaders-v0_2,545.0
HPO-RL-Bench Optuna,SpaceInvaders-v0_2,663.0
HPO-RL-Bench Oracle,Riverraid-v0_2,5653.0
RL Zoo,Riverraid-v0_2,4436.0
HPO-RL-Bench Optuna,Riverraid-v0_2,5653.0
HPO-RL-Bench Oracle,Skiing-v0_2,-9013.0
RL Zoo,Skiing-v0_2,-30000.0
HPO-RL-Bench Optuna,Skiing-v0_2,-9013.0
HPO-RL-Bench Oracle,Boxing-v0_2,48.4
RL Zoo,Boxing-v0_2,28.9
HPO-RL-Bench Optuna,Boxing-v0_2,48.4
HPO-RL-Bench Oracle,Bowling-v0_2,68.3
RL Zoo,Bowling-v0_2,3.0
HPO-RL-Bench Optuna,Bowling-v0_2,68.3
HPO-RL-Bench Oracle,Asteroids-v0_2,877.0
RL Zoo,Asteroids-v0_2,220.0
HPO-RL-Bench Optuna,Asteroids-v0_2,877.0
HPO-RL-Bench Oracle,CartPole-v1_2,500.0
RL Zoo,CartPole-v1_2,500.0
HPO-RL-Bench Optuna,CartPole-v1_2,500.0
HPO-RL-Bench Oracle,MountainCar-v0_2,-94.5
RL Zoo,MountainCar-v0_2,-200.0
HPO-RL-Bench Optuna,MountainCar-v0_2,-105.8
HPO-RL-Bench Oracle,Acrobot-v1_2,-62.1
RL Zoo,Acrobot-v1_2,-74.4
HPO-RL-Bench Optuna,Acrobot-v1_2,-62.5
HPO-RL-Bench Oracle,Ant-v2_2,3566.5939777
RL Zoo,Ant-v2_2,1373.7944297
HPO-RL-Bench Optuna,Ant-v2_2,3566.5939777
HPO-RL-Bench Oracle,Hopper-v2_2,3073.8381736
RL Zoo,Hopper-v2_2,1007.1545661
HPO-RL-Bench Optuna,Hopper-v2_2,2030.3050928000005
HPO-RL-Bench Oracle,Humanoid-v2_2,513.6499254
RL Zoo,Humanoid-v2_2,505.1896299
HPO-RL-Bench Optuna,Humanoid-v2_2,499.8493812
